Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
Kepler-1615 b,Kepler-1615,0.2788,3.71,1.88,3.71,1.88,55.29790325,15.93754677
Kepler-1616 b,Kepler-1616,0.074,0.88,1.16,0.88,1.16,143.8467459,6.855833829
Kepler-1616 b,Kepler-1616,,,1.8,0,1.8,#DIV/0!,0
Kepler-1616 b,Kepler-1616,0.074,0.88,1.16,0.88,1.16,143.8467459,6.855833829
Kepler-1616 b,Kepler-1616,0.074,0.88,1.16,0.88,1.16,143.8467459,6.855833829
Kepler-1616 b,Kepler-1616,,1.02,1.34,1.02,1.34,143.3604486,0
Kepler-1616 b,Kepler-1616,,1.337,1.81,1.337,1.81,147.7310866,0
Kepler-1616 b,Kepler-1616,0.0761,1.21,1.63,1.21,1.63,147.0032576,5.017456368
Kepler-1616 b,Kepler-1616,,,1.8,0,1.8,#DIV/0!,0
Kepler-1617 b,Kepler-1617,,,1.38,0,1.38,#DIV/0!,0
Kepler-1617 b,Kepler-1617,0.1833,1.08,1.13,1.08,1.13,114.1772064,17.43293752
Kepler-1617 b,Kepler-1617,0.1833,1.08,1.13,1.08,1.13,114.1772064,17.43293752
Kepler-1617 b,Kepler-1617,,,1.38,0,1.38,#DIV/0!,0
Kepler-1617 b,Kepler-1617,,1.2,1.22,1.2,1.22,110.9438696,0
Kepler-1617 b,Kepler-1617,0.1833,1.08,1.13,1.08,1.13,114.1772064,17.43293752
Kepler-1617 b,Kepler-1617,,1.244,1.39,1.244,1.39,121.9324063,0
Kepler-1617 b,Kepler-1617,0.181,1.52,1.71,1.52,1.71,122.7657573,11.37546128
Kepler-1618 b,Kepler-1618,,1.409,1.71,1.409,1.71,132.4371548,0
Kepler-1618 b,Kepler-1618,0.0709,1.07,1.39,1.07,1.39,141.7606668,5.481734371
Kepler-1618 b,Kepler-1618,,,1.8,0,1.8,#DIV/0!,0
Kepler-1618 b,Kepler-1618,,1.26,1.65,1.26,1.65,142.9019397,0
Kepler-1618 b,Kepler-1618,0.0706,1.06,1.29,1.06,1.29,132.8032091,5.881682037
Kepler-1618 b,Kepler-1618,0.0709,1.07,1.39,1.07,1.39,141.7606668,5.481734371
Kepler-1618 b,Kepler-1618,,,1.8,0,1.8,#DIV/0!,0
Kepler-1618 b,Kepler-1618,0.0709,1.07,1.39,1.07,1.39,141.7606668,5.481734371
Kepler-1619 b,Kepler-1619,,,1.48,0,1.48,#DIV/0!,0
Kepler-1619 b,Kepler-1619,0.1597,0.76,1,0.76,1,143.585681,17.16293147
Kepler-1619 b,Kepler-1619,0.1597,0.76,1,0.76,1,143.585681,17.16293147
Kepler-1619 b,Kepler-1619,,,1.48,0,1.48,#DIV/0!,0
Kepler-1619 b,Kepler-1619,0.1611,1.07,1.39,1.07,1.39,141.7606668,12.4556757
Kepler-1619 b,Kepler-1619,0.1597,0.76,1,0.76,1,143.585681,17.16293147
Kepler-1619 b,Kepler-1619,,1.115,1.46,1.115,1.46,142.8902885,0
Kepler-1619 b,Kepler-1619,,0.76,1,0.76,1,143.585681,0
Kepler-162 b,Kepler-162,0.068,1.28,0.95,1.28,0.95,80.99129821,7.692577132
Kepler-162 b,Kepler-162,0.069,1.26,0.96,1.26,0.96,83.14294674,7.724393858
Kepler-162 b,Kepler-162,,1.56,1.2,1.56,1.2,83.94239815,0
Kepler-162 b,Kepler-162,,,1.21,0,1.21,#DIV/0!,0
Kepler-162 b,Kepler-162,0.068,1.28,0.95,1.28,0.95,80.99129821,7.692577132
Kepler-162 b,Kepler-162,,,1.21,0,1.21,#DIV/0!,0
Kepler-162 b,Kepler-162,0.068,1.39,0.95,1.39,0.95,74.5819149,7.692577132
Kepler-162 b,Kepler-162,0.068,1.28,0.95,1.28,0.95,80.99129821,7.692577132
Kepler-162 b,Kepler-162,0.07,1.34,0.98,1.34,0.98,79.80792182,7.676416256
Kepler-162 b,Kepler-162,,1.682,1.15,1.682,1.15,74.60991988,0
Kepler-162 c,Kepler-162,,3.912,1.15,3.912,1.15,32.07921402,0
Kepler-162 c,Kepler-162,0.139,3.3,0.98,3.3,0.98,32.4068531,15.24316942
Kepler-162 c,Kepler-162,,,1.21,0,1.21,#DIV/0!,0
Kepler-162 c,Kepler-162,0.1355,3.28,0.95,3.28,0.95,31.60636028,15.3285912
Kepler-162 c,Kepler-162,,4.19,1.2,4.19,1.2,31.25301697,0
Kepler-162 c,Kepler-162,0.137,3.03,0.96,3.03,0.96,34.57429468,15.33683998
Kepler-162 c,Kepler-162,0.1355,3.28,0.95,3.28,0.95,31.60636028,15.3285912
Kepler-162 c,Kepler-162,,,1.21,0,1.21,#DIV/0!,0
Kepler-162 c,Kepler-162,,,1.21,0,1.21,#DIV/0!,0
Kepler-162 c,Kepler-162,0.1355,3.28,0.95,3.28,0.95,31.60636028,15.3285912
Kepler-162 c,Kepler-162,0.1355,3.24,0.95,3.24,0.95,31.99656226,15.3285912
Kepler-1620 b,Kepler-1620,0.4322,1.36,1.05,1.36,1.05,84.25100991,44.23662808
Kepler-1620 b,Kepler-1620,0.4322,1.36,1.05,1.36,1.05,84.25100991,44.23662808
Kepler-1620 b,Kepler-1620,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1620 b,Kepler-1620,0.4322,1.36,1.05,1.36,1.05,84.25100991,44.23662808
Kepler-1620 b,Kepler-1620,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1620 b,Kepler-1620,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1620 b,Kepler-1620,0.4322,1.31,1.05,1.31,1.05,87.46669731,44.23662808
Kepler-1620 b,Kepler-1620,,1.61,1.23,1.61,1.23,83.36887866,0
Kepler-1621 b,Kepler-1621,,2.456,1.42,2.456,1.42,63.09351261,0
Kepler-1621 b,Kepler-1621,,2.16,1.24,2.16,1.24,62.64590084,0
Kepler-1621 b,Kepler-1621,,,1.43,0,1.43,#DIV/0!,0
Kepler-1621 b,Kepler-1621,0.4204,2.22,1.28,2.22,1.28,62.91898672,35.2971215
Kepler-1621 b,Kepler-1621,0.4266,1.96,1.14,1.96,1.14,63.47073166,40.21634074
Kepler-1621 b,Kepler-1621,,,1.43,0,1.43,#DIV/0!,0
Kepler-1621 b,Kepler-1621,0.4266,1.96,1.14,1.96,1.14,63.47073166,40.21634074
Kepler-1621 b,Kepler-1621,,,1.43,0,1.43,#DIV/0!,0
Kepler-1621 b,Kepler-1621,0.4266,1.96,1.14,1.96,1.14,63.47073166,40.21634074
Kepler-1622 b,Kepler-1622,0.0994,1.24,1.2,1.24,1.2,105.6049525,8.902084052
Kepler-1622 b,Kepler-1622,0.1006,1.15,1.19,1.15,1.19,112.9207739,9.085264416
Kepler-1622 b,Kepler-1622,0.1006,1.15,1.19,1.15,1.19,112.9207739,9.085264416
Kepler-1622 b,Kepler-1622,,,1.29,0,1.29,#DIV/0!,0
Kepler-1622 b,Kepler-1622,,1.47,1.5,1.47,1.5,111.3521608,0
Kepler-1622 b,Kepler-1622,0.1006,1.15,1.19,1.15,1.19,112.9207739,9.085264416
Kepler-1622 b,Kepler-1622,,,1.29,0,1.29,#DIV/0!,0
Kepler-1622 b,Kepler-1622,,1.381,1.33,1.381,1.33,105.0951531,0
Kepler-1623 b,Kepler-1623,0.0533,1.3,0.96,1.3,0.96,80.58470222,5.966814386
Kepler-1623 b,Kepler-1623,,1.31,1,1.31,1,83.30161648,0
Kepler-1623 b,Kepler-1623,,,0.88,0,0.88,#DIV/0!,0
Kepler-1623 b,Kepler-1623,0.0533,1.3,0.96,1.3,0.96,80.58470222,5.966814386
Kepler-1623 b,Kepler-1623,,,0.88,0,0.88,#DIV/0!,0
Kepler-1623 b,Kepler-1623,0.0533,1.3,0.96,1.3,0.96,80.58470222,5.966814386
Kepler-1623 b,Kepler-1623,,1.219,0.89,1.219,0.89,79.67297347,0
Kepler-1623 b,Kepler-1623,0.0518,1.2,0.87,1.2,0.87,79.11571025,6.39877824
Kepler-1624 b,Kepler-1624,,,0.57,0,0.57,#DIV/0!,0
Kepler-1624 b,Kepler-1624,,6.528,0.57,6.528,0.57,9.528388025,0
Kepler-1624 b,Kepler-1624,0.0327,4.91,0.43,4.91,0.43,9.556782192,8.172705493
Kepler-1624 b,Kepler-1624,,,0.57,0,0.57,#DIV/0!,0
Kepler-1624 b,Kepler-1624,,5.7,0.47,5.7,0.47,8.998036012,0
Kepler-1624 b,Kepler-1624,,7.067,0.57,7.067,0.57,8.801657992,0
Kepler-1624 b,Kepler-1624,,,0.57,0,0.57,#DIV/0!,0
Kepler-1624 b,Kepler-1624,0.0238,2.27,0.19,2.27,0.19,9.133820415,13.46200998
Kepler-1624 b,Kepler-1624,0.0238,2.27,0.19,2.27,0.19,9.133820415,13.46200998
Kepler-1625 b,Kepler-1625,,,1.88,0,1.88,#DIV/0!,0
Kepler-1625 b,Kepler-1625,,11.831,1.82,11.831,1.82,16.7870606,0
Kepler-1625 b,Kepler-1625,,,1.88,0,1.88,#DIV/0!,0
Kepler-1625 b,Kepler-1625,,6.06,0.94,6.06,0.94,16.92699844,0
Kepler-1625 b,Kepler-1625,0.8748,11.67,1.79,11.67,1.79,16.73812858,52.52212579
Kepler-1625 b,Kepler-1625,0.811,5.4,0.84,5.4,0.84,16.97501829,103.7595597
Kepler-1625 b,Kepler-1625,0.811,5.4,0.84,5.4,0.84,16.97501829,103.7595597
Kepler-1626 b,Kepler-1626,0.0534,1.23,1.16,1.23,1.16,102.914745,4.947317925
Kepler-1626 b,Kepler-1626,,2.02,1.85,2.02,1.85,99.94132057,0
Kepler-1626 b,Kepler-1626,,,1.5,0,1.5,#DIV/0!,0
Kepler-1626 b,Kepler-1626,,,1.5,0,1.5,#DIV/0!,0
Kepler-1626 b,Kepler-1626,0.0534,1.23,1.16,1.23,1.16,102.914745,4.947317925
Kepler-1626 b,Kepler-1626,,1.599,1.52,1.599,1.52,103.7336953,0
Kepler-1626 b,Kepler-1626,0.0537,1.24,1.18,1.24,1.18,103.84487,4.890787916
Kepler-1627 b,Kepler-1627,,3.76,0.88,3.76,0.88,25.53992114,0
Kepler-1627 b,Kepler-1627,,3.69,0.84,3.69,0.84,24.84149018,0
Kepler-1627 b,Kepler-1627,,,0.75,0,0.75,#DIV/0!,0
Kepler-1627 b,Kepler-1627,0.0643,3.15,0.72,3.15,0.72,24.94288402,9.597652658
Kepler-1627 b,Kepler-1627,,,0.75,0,0.75,#DIV/0!,0
Kepler-1627 b,Kepler-1627,0.0643,3.15,0.72,3.15,0.72,24.94288402,9.597652658
Kepler-1627 b,Kepler-1627,0.0643,3.06,0.72,3.06,0.72,25.67649826,9.597652658
Kepler-1628 b,Kepler-1628,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1628 b,Kepler-1628,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1628 b,Kepler-1628,0.2956,7.24,0.59,7.24,0.59,8.892792732,53.84420514
Kepler-1628 b,Kepler-1628,0.2956,7.24,0.59,7.24,0.59,8.892792732,53.84420514
Kepler-1628 b,Kepler-1628,,6.43,0.52,6.43,0.52,8.82504839,0
Kepler-1628 b,Kepler-1628,0.2952,6.28,0.58,6.28,0.58,10.07843443,54.69843639
Kepler-1629 b,Kepler-1629,0.0499,0.76,0.99,0.76,0.99,142.1498242,5.416913532
Kepler-1629 b,Kepler-1629,,,0.88,0,0.88,#DIV/0!,0
Kepler-1629 b,Kepler-1629,,,0.88,0,0.88,#DIV/0!,0
Kepler-1629 b,Kepler-1629,,0.77,1.01,0.77,1.01,143.1381413,0
Kepler-1629 b,Kepler-1629,,0.669,0.88,0.669,0.88,143.5427556,0
Kepler-1629 b,Kepler-1629,0.0485,0.68,0.89,0.68,0.89,142.8255216,5.85650184
Kepler-163 b,Kepler-163,0.076,1.04,0.85,1.04,0.85,89.18879803,9.609066937
Kepler-163 b,Kepler-163,,,0.97,0,0.97,#DIV/0!,0
Kepler-163 b,Kepler-163,0.0771,1.05,0.9,1.05,0.9,93.53581508,9.206581897
Kepler-163 b,Kepler-163,,,0.97,0,0.97,#DIV/0!,0
Kepler-163 b,Kepler-163,,1.156,0.91,1.156,0.91,85.90299049,0
Kepler-163 b,Kepler-163,0.0739,1.36,1.07,1.36,1.07,85.85579105,7.42244884
Kepler-163 b,Kepler-163,0.078,1.05,0.92,1.05,0.92,95.61438875,9.111572339
Kepler-163 b,Kepler-163,0.0771,1.05,0.9,1.05,0.9,93.53581508,9.206581897
Kepler-163 b,Kepler-163,0.0771,1.05,0.9,1.05,0.9,93.53581508,9.206581897
Kepler-163 b,Kepler-163,,1.15,0.96,1.15,0.96,91.09575034,0
Kepler-163 c,Kepler-163,,2.4,0.96,2.4,0.96,43.65004704,0
Kepler-163 c,Kepler-163,0.1506,2.23,0.9,2.23,0.9,44.04152728,17.98328448
Kepler-163 c,Kepler-163,,,0.97,0,0.97,#DIV/0!,0
Kepler-163 c,Kepler-163,,,0.97,0,0.97,#DIV/0!,0
Kepler-163 c,Kepler-163,0.1506,2.23,0.9,2.23,0.9,44.04152728,17.98328448
Kepler-163 c,Kepler-163,,,0.97,0,0.97,#DIV/0!,0
Kepler-163 c,Kepler-163,0.1445,3.2,1.07,3.2,1.07,36.48871119,14.51344868
Kepler-163 c,Kepler-163,0.149,2.3,0.85,2.3,0.85,40.32884781,18.8388286
Kepler-163 c,Kepler-163,0.152,2.26,0.92,2.26,0.92,44.42261424,17.75588456
Kepler-163 c,Kepler-163,,2.725,0.91,2.725,0.91,36.44178239,0
Kepler-163 c,Kepler-163,0.1506,2.23,0.9,2.23,0.9,44.04152728,17.98328448
Kepler-1630 b,Kepler-1630,1.1218,2.62,0.76,2.62,0.76,31.65461426,158.6311218
Kepler-1630 b,Kepler-1630,,,0.72,0,0.72,#DIV/0!,0
Kepler-1630 b,Kepler-1630,,2.19,0.63,2.19,0.63,31.39215712,0
Kepler-1630 b,Kepler-1630,1.1218,2.62,0.76,2.62,0.76,31.65461426,158.6311218
Kepler-1631 b,Kepler-1631,0.0511,1.75,0.96,1.75,0.96,59.86292165,5.720529364
Kepler-1631 b,Kepler-1631,,1.35,0.95,1.35,0.95,76.79174942,0
Kepler-1631 b,Kepler-1631,,1.897,1.05,1.897,1.05,60.4013566,0
Kepler-1631 b,Kepler-1631,0.0511,1.39,0.96,1.39,0.96,75.36698769,5.720529364
Kepler-1631 b,Kepler-1631,,,1.09,0,1.09,#DIV/0!,0
Kepler-1631 b,Kepler-1631,0.0511,1.39,0.96,1.39,0.96,75.36698769,5.720529364
Kepler-1632 b,Kepler-1632,1.0846,1.66,0.81,1.66,0.81,53.24779834,143.9034259
Kepler-1632 b,Kepler-1632,1.0846,1.66,0.81,1.66,0.81,53.24779834,143.9034259
Kepler-1632 b,Kepler-1632,0.6762,2.41,1.29,2.41,1.29,58.41137,56.33418404
Kepler-1632 b,Kepler-1632,,,1.49,0,1.49,#DIV/0!,0
Kepler-1632 b,Kepler-1632,,2.829,1.51,2.829,1.51,58.24635121,0
Kepler-1632 b,Kepler-1632,,2.47,1.19,2.47,1.19,52.57444937,0
Kepler-1633 b,Kepler-1633,,1.58,1.32,1.58,1.32,91.16781976,0
Kepler-1633 b,Kepler-1633,,2.621,1.92,2.621,1.92,79.93904074,0
Kepler-1633 b,Kepler-1633,0.6407,1.06,0.92,1.06,0.92,94.71236621,74.84338971
Kepler-1633 b,Kepler-1633,,,1.84,0,1.84,#DIV/0!,0
Kepler-1633 b,Kepler-1633,,,1.84,0,1.84,#DIV/0!,0
Kepler-1633 b,Kepler-1633,0.3875,6.71,4.91,6.71,4.91,79.85161362,8.481580079
Kepler-1633 b,Kepler-1633,0.6407,1.06,0.92,1.06,0.92,94.71236621,74.84338971
Kepler-1633 b,Kepler-1633,,,1.84,0,1.84,#DIV/0!,0
Kepler-1634 b,Kepler-1634,1.0525,4.92,1.35,4.92,1.35,29.94286763,83.78666188
Kepler-1634 b,Kepler-1634,,3.19,0.89,3.19,0.89,30.44556572,0
Kepler-1634 b,Kepler-1634,,2.568,0.81,2.568,0.81,34.42030578,0
Kepler-1634 b,Kepler-1634,1.0525,4.27,1.35,4.27,1.35,34.5009154,83.78666188
Kepler-1634 b,Kepler-1634,,,0.88,0,0.88,#DIV/0!,0
Kepler-1634 b,Kepler-1634,1.0525,4.92,1.35,4.92,1.35,29.94286763,83.78666188
Kepler-1635 b,Kepler-1635,,3.662,0.86,3.662,0.86,25.62741702,0
Kepler-1635 b,Kepler-1635,1.117,3.24,0.76,3.24,0.76,25.59724981,157.952365
Kepler-1635 b,Kepler-1635,1.1123,3.28,0.78,3.28,0.78,25.95048528,153.2547298
Kepler-1635 b,Kepler-1635,,,0.89,0,0.89,#DIV/0!,0
Kepler-1635 b,Kepler-1635,,3.64,0.85,3.64,0.85,25.48251372,0
Kepler-1635 b,Kepler-1635,1.1123,3.28,0.78,3.28,0.78,25.95048528,153.2547298
Kepler-1636 b,Kepler-1636,,4.065,1.3,4.065,1.3,34.89856159,0
Kepler-1636 b,Kepler-1636,,,1.39,0,1.39,#DIV/0!,0
Kepler-1636 b,Kepler-1636,1.1546,3.2,1.02,3.2,1.02,34.78363123,121.6516303
Kepler-1636 b,Kepler-1636,1.1546,3.22,1.02,3.22,1.02,34.56758383,121.6516303
Kepler-1636 b,Kepler-1636,,3.23,1.02,3.23,1.02,34.46056345,0
Kepler-1636 b,Kepler-1636,1.1546,3.22,1.02,3.22,1.02,34.56758383,121.6516303
Kepler-1637 b,Kepler-1637,0.0596,0.84,1.01,0.84,1.01,131.2099628,6.341783885
Kepler-1637 b,Kepler-1637,0.0596,0.84,1.01,0.84,1.01,131.2099628,6.341783885
Kepler-1637 b,Kepler-1637,0.0596,0.79,1.01,0.79,1.01,139.5143908,6.341783885
Kepler-1637 b,Kepler-1637,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1637 b,Kepler-1637,,0.89,1.02,0.89,1.02,125.0647415,0
Kepler-1637 b,Kepler-1637,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1638 b,Kepler-1638,0.745,1.6,0.83,1.6,0.83,56.60865475,96.46388139
Kepler-1638 b,Kepler-1638,,1.87,0.95,1.87,0.95,55.43789396,0
Kepler-1638 b,Kepler-1638,0.7307,1.7,0.85,1.7,0.85,54.5625588,92.3861212
Kepler-1638 b,Kepler-1638,0.9302,6.04,3.2,6.04,3.2,57.81463184,31.24013551
Kepler-1638 b,Kepler-1638,,,1.62,0,1.62,#DIV/0!,0
Kepler-1638 b,Kepler-1638,0.7307,1.7,0.85,1.7,0.85,54.5625588,92.3861212
Kepler-1638 b,Kepler-1638,,,1.62,0,1.62,#DIV/0!,0
Kepler-1638 b,Kepler-1638,,3.226,1.71,3.226,1.71,57.84375421,0
Kepler-1638 b,Kepler-1638,,,1.62,0,1.62,#DIV/0!,0
Kepler-1639 b,Kepler-1639,0.0934,2.5,1.15,2.5,1.15,50.19755409,8.72841904
Kepler-1639 b,Kepler-1639,,2.333,1.01,2.333,1.01,47.24233552,0
Kepler-1639 b,Kepler-1639,0.0932,2.64,1.15,2.64,1.15,47.53556259,8.709728636
Kepler-1639 b,Kepler-1639,0.0934,2.5,1.15,2.5,1.15,50.19755409,8.72841904
Kepler-1639 b,Kepler-1639,,,1.03,0,1.03,#DIV/0!,0
Kepler-1639 b,Kepler-1639,,2.58,1.18,2.58,1.18,49.9099375,0
Kepler-1639 b,Kepler-1639,,,1.03,0,1.03,#DIV/0!,0
Kepler-1639 b,Kepler-1639,,,1.03,0,1.03,#DIV/0!,0
Kepler-164 b,Kepler-164,0.059,1.45,1.14,1.45,1.14,85.79492004,5.562034936
Kepler-164 b,Kepler-164,0.058,1.41,1.15,1.41,1.15,89.00275548,5.420217391
Kepler-164 b,Kepler-164,0.059,1.45,1.14,1.45,1.14,85.79492004,5.562034936
Kepler-164 b,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 b,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 b,Kepler-164,,1.48,1.13,1.48,1.13,83.31850195,0
Kepler-164 b,Kepler-164,0.06,1.48,1.1,1.48,1.1,81.10650632,5.861990596
Kepler-164 b,Kepler-164,0.0568,1.63,1.1,1.63,1.1,73.64271739,5.549351097
Kepler-164 b,Kepler-164,0.059,1.45,1.14,1.45,1.14,85.79492004,5.562034936
Kepler-164 b,Kepler-164,,1.545,1.04,1.545,1.04,73.45638984,0
Kepler-164 c,Kepler-164,,2.69,1.04,2.69,1.04,42.18963654,0
Kepler-164 c,Kepler-164,,2.72,1.13,2.72,1.13,45.33506723,0
Kepler-164 c,Kepler-164,0.0991,2.69,1.14,2.69,1.14,46.24633236,9.342333258
Kepler-164 c,Kepler-164,0.0954,2.84,1.1,2.84,1.1,42.2667709,9.320565047
Kepler-164 c,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 c,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 c,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 c,Kepler-164,0.0991,2.69,1.14,2.69,1.14,46.24633236,9.342333258
Kepler-164 c,Kepler-164,0.097,2.73,1.15,2.73,1.15,45.96845613,9.064846327
Kepler-164 c,Kepler-164,0.101,2.5,1.1,2.5,1.1,48.01505174,9.867684169
Kepler-164 c,Kepler-164,0.0991,2.69,1.14,2.69,1.14,46.24633236,9.342333258
Kepler-164 d,Kepler-164,0.194,2.5,1.1,2.5,1.1,48.01505174,18.95376959
Kepler-164 d,Kepler-164,0.187,2.45,1.15,2.45,1.15,51.22199397,17.47552849
Kepler-164 d,Kepler-164,,2.564,1.04,2.564,1.04,44.26291821,0
Kepler-164 d,Kepler-164,0.1826,2.7,1.1,2.7,1.1,44.45838124,17.83999138
Kepler-164 d,Kepler-164,0.1897,2.46,1.14,2.46,1.14,50.57017644,17.8833564
Kepler-164 d,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 d,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 d,Kepler-164,0.1897,2.46,1.14,2.46,1.14,50.57017644,17.8833564
Kepler-164 d,Kepler-164,,2.47,1.13,2.47,1.13,49.92363679,0
Kepler-164 d,Kepler-164,,,1.02,0,1.02,#DIV/0!,0
Kepler-164 d,Kepler-164,0.1897,2.46,1.14,2.46,1.14,50.57017644,17.8833564
Kepler-1640 b,Kepler-1640,0.0834,5.49,1.63,5.49,1.63,32.39962508,5.498762957
Kepler-1640 b,Kepler-1640,0.0834,5.49,1.63,5.49,1.63,32.39962508,5.498762957
Kepler-1640 b,Kepler-1640,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1640 b,Kepler-1640,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1640 b,Kepler-1640,0.0836,5.83,1.65,5.83,1.65,30.88446724,5.445137931
Kepler-1640 b,Kepler-1640,,4.82,1.43,4.82,1.43,32.37529422,0
Kepler-1641 b,Kepler-1641,,3.11,1.19,3.11,1.19,41.75527008,0
Kepler-1641 b,Kepler-1641,0.1473,3.92,1.49,3.92,1.49,41.4786799,10.62436618
Kepler-1641 b,Kepler-1641,0.1473,4.07,1.49,4.07,1.49,39.94998162,10.62436618
Kepler-1641 b,Kepler-1641,,,1.06,0,1.06,#DIV/0!,0
Kepler-1641 b,Kepler-1641,0.1473,3.92,1.49,3.92,1.49,41.4786799,10.62436618
Kepler-1641 b,Kepler-1641,,,1.06,0,1.06,#DIV/0!,0
Kepler-1641 b,Kepler-1641,,2.912,1.06,2.912,1.06,39.72274198,0
Kepler-1641 c,Kepler-1641,0.2065,3.78,1.49,3.78,1.49,43.0149273,14.89430832
Kepler-1641 c,Kepler-1641,,2.95,1.19,2.95,1.19,44.01996269,0
Kepler-1641 c,Kepler-1641,,,1.06,0,1.06,#DIV/0!,0
Kepler-1641 c,Kepler-1641,,2.673,1.06,2.673,1.06,43.27445741,0
Kepler-1641 c,Kepler-1641,0.2065,3.78,1.49,3.78,1.49,43.0149273,14.89430832
Kepler-1641 c,Kepler-1641,,,1.06,0,1.06,#DIV/0!,0
Kepler-1641 c,Kepler-1641,0.2065,3.73,1.49,3.73,1.49,43.59153491,14.89430832
Kepler-1642 b,Kepler-1642,,3.2,0.84,3.2,0.84,28.64534337,0
Kepler-1642 b,Kepler-1642,,,0.81,0,0.81,#DIV/0!,0
Kepler-1642 b,Kepler-1642,0.1016,5.83,1.51,5.83,1.51,28.26396699,7.231082439
Kepler-1642 b,Kepler-1642,,2.77,0.78,2.77,0.78,30.72837246,0
Kepler-1642 b,Kepler-1642,0.1016,5.83,1.51,5.83,1.51,28.26396699,7.231082439
Kepler-1642 b,Kepler-1642,0.1016,5.41,1.51,5.41,1.51,30.45821212,7.231082439
Kepler-1642 b,Kepler-1642,,,0.81,0,0.81,#DIV/0!,0
Kepler-1642 c,Kepler-1642,,2.66,0.84,2.66,0.84,34.46056345,0
Kepler-1642 c,Kepler-1642,,2.464,0.78,2.464,0.78,34.54447716,0
Kepler-1642 c,Kepler-1642,,,0.81,0,0.81,#DIV/0!,0
Kepler-1642 c,Kepler-1642,0.0678,4.87,1.51,4.87,1.51,33.83550874,4.825466431
Kepler-1642 c,Kepler-1642,0.0678,4.81,1.51,4.81,1.51,34.2575733,4.825466431
Kepler-1642 c,Kepler-1642,0.0678,4.87,1.51,4.87,1.51,33.83550874,4.825466431
Kepler-1642 c,Kepler-1642,,,0.81,0,0.81,#DIV/0!,0
Kepler-1643 b,Kepler-1643,0.0531,1.72,0.67,1.72,0.67,42.50803999,8.517384843
Kepler-1643 b,Kepler-1643,0.0531,1.72,0.67,1.72,0.67,42.50803999,8.517384843
Kepler-1643 b,Kepler-1643,,,0.82,0,0.82,#DIV/0!,0
Kepler-1643 b,Kepler-1643,,2.058,0.8,2.058,0.8,42.41987078,0
Kepler-1643 b,Kepler-1643,,2.3,0.88,2.3,0.88,41.7522189,0
Kepler-1643 b,Kepler-1643,,2.32,0.85,2.32,0.85,39.98118532,0
Kepler-1643 b,Kepler-1643,0.0531,1.72,0.67,1.72,0.67,42.50803999,8.517384843
Kepler-1643 b,Kepler-1643,,,0.82,0,0.82,#DIV/0!,0
Kepler-1644 b,Kepler-1644,0.142,1.88,0.82,1.88,0.82,47.59712576,18.61062868
Kepler-1644 b,Kepler-1644,,1.88,0.86,1.88,0.86,49.91893677,0
Kepler-1644 b,Kepler-1644,0.142,1.8,0.82,1.8,0.82,49.71255357,18.61062868
Kepler-1644 b,Kepler-1644,,,,0,0,#DIV/0!,#DIV/0!
Kepler-1644 b,Kepler-1644,0.142,1.8,0.82,1.8,0.82,49.71255357,18.61062868
Kepler-1645 b,Kepler-1645,0.1285,2.25,1.07,2.25,1.07,51.89505592,12.90642322
Kepler-1645 b,Kepler-1645,,3.026,1.44,3.026,1.44,51.92999647,0
Kepler-1645 b,Kepler-1645,,,1.52,0,1.52,#DIV/0!,0
Kepler-1645 b,Kepler-1645,,,1.52,0,1.52,#DIV/0!,0
Kepler-1645 b,Kepler-1645,0.1285,1.89,1.07,1.89,1.07,61.77982848,12.90642322
Kepler-1645 b,Kepler-1645,,1.78,1.02,1.78,1.02,62.53237075,0
Kepler-1645 b,Kepler-1645,0.1285,1.89,1.07,1.89,1.07,61.77982848,12.90642322
Kepler-1646 b,Kepler-1646,,1.23,0.26,1.23,0.26,23.06709803,0
Kepler-1646 b,Kepler-1646,0.0295,0.95,0.19,0.95,0.19,21.82502352,16.68610481
Kepler-1646 b,Kepler-1646,,,0.37,0,0.37,#DIV/0!,0
Kepler-1646 b,Kepler-1646,,1.836,0.37,1.836,0.37,21.99144527,0
Kepler-1646 b,Kepler-1646,0.0299,0.97,0.2,0.97,0.2,22.50002425,16.06673922
